model,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
VGG16,0.85200146896805,0.8580770314754578,0.85200146896805,0.8520504170808442,0.8183823073367273,0.825343496996324,0.815443640117464
ResNet50,0.8479618068307014,0.8497207159916358,0.8479618068307014,0.8450837128899765,0.8201866736339514,0.8189563091815942,0.8121897473659253
MobileNetV2,0.8325376423062798,0.8401411177963992,0.8325376423062798,0.8333635669824326,0.8028917620575444,0.8183380067363628,0.8029717645149803
